This file contains the transfer function between the following input and output 


Input : 178 NOTH/CMCONST/CM

Output : 180 NOTH/MYOUTPUT/MYOUTPUT

frequency            transfer_function                   modulus                    phases 
0.1       [-0.14683099-0.00647114j]             [0.14697352]            [-3.0975491]
0.10722672220103231       [-0.14683275-0.00695208j]             [0.14699724]            [-3.09428105]
0.11497569953977356       [-0.14683578-0.00747061j]             [0.1470257]            [-3.09075915]
0.12328467394420663       [-0.1468407-0.00803024j]             [0.14706011]            [-3.08696033]
0.1321941148466029       [-0.14684847-0.0086349j]             [0.14710212]            [-3.08285884]
0.1417474162926805       [-0.14686055-0.00928905j]             [0.14715402]            [-3.07842598]
0.1519911082952934       [-0.14687915-0.00999766j]             [0.14721901]            [-3.07363024]
0.16297508346206444       [-0.14690766-0.01076618j]             [0.14730163]            [-3.06843808]
0.17475284000076838       [-0.14695123-0.01160029j]             [0.14740838]            [-3.06281628]
0.1873817422860384       [-0.14701755-0.01250523j]             [0.14754844]            [-3.0567375]
0.20092330025650468       [-0.14711764-0.01348427j]             [0.14773431]            [-3.05019167]
0.2154434690031884       [-0.14726604-0.01453591j]             [0.14798168]            [-3.04320626]
0.23101297000831597       [-0.14747872-0.01564945j]             [0.1483067]            [-3.03587496]
0.24770763559917108       [-0.147766-0.01680095j]             [0.14871806]            [-3.02837916]
0.26560877829466867       [-0.14811947-0.01795554j]             [0.14920382]            [-3.02095792]
0.2848035868435802       [-0.14850094-0.01908436j]             [0.14972221]            [-3.01377982]
0.30538555088334157       [-0.14885112-0.02019082j]             [0.15021427]            [-3.00677115]
0.32745491628777285       [-0.14912174-0.02131967j]             [0.15063805]            [-2.99958675]
0.3511191734215131       [-0.14930108-0.02253421j]             [0.15099206]            [-2.99179201]
0.3764935806792468       [-0.14940944-0.02388625j]             [0.15130676]            [-2.98306309]
0.40370172585965547       [-0.14947836-0.0254055j]             [0.15162196]            [-2.97324034]
0.43287612810830584       [-0.14953571-0.02710571j]             [0.15197253]            [-2.96227388]
0.464158883361278       [-0.14960157-0.02899414j]             [0.15238534]            [-2.95015693]
0.49770235643321115       [-0.14968972-0.03107782j]             [0.15288179]            [-2.9368859]
0.533669923120631       [-0.14981042-0.03336649j]             [0.15348122]            [-2.92244488]
0.5722367659350217       [-0.14997297-0.03587366j]             [0.1542038]            [-2.90680343]
0.6135907273413173       [-0.15018755-0.03861681j]             [0.15507275]            [-2.88992044]
0.6579332246575681       [-0.15046669-0.04161725j]             [0.15611605]            [-2.87175089]
0.7054802310718644       [-0.15082657-0.04489986j]             [0.15736789]            [-2.85225464]
0.7564633275546289       [-0.15128807-0.04849275j]             [0.15886984]            [-2.83140671]
0.8111308307896873       [-0.15187774-0.05242678j]             [0.16067176]            [-2.80920869]
0.8697490026177834       [-0.15262858-0.05673526j]             [0.16283234]            [-2.78569974]
0.9326033468832199       [-0.15358081-0.06145383j]             [0.16541958]            [-2.76096556]
1.0       [-0.15478285-0.0666209j]             [0.16851135]            [-2.7351442]
1.072267222010323       [-0.15629317-0.07227847j]             [0.17219678]            [-2.70843001]
1.1497569953977356       [-0.15818332-0.078473j]             [0.17657852]            [-2.68107878]
1.232846739442066       [-0.16054255-0.08525554j]             [0.18177573]            [-2.65341752]
1.3219411484660293       [-0.16348357-0.09268065j]             [0.18792706]            [-2.62585863]
1.4174741629268055       [-0.16714938-0.10080373j]             [0.195193]            [-2.59891469]
1.5199110829529339       [-0.17172099-0.10967676j]             [0.20375743]            [-2.5732082]
1.6297508346206444       [-0.17742682-0.11934247j]             [0.21382914]            [-2.54947347]
1.7475284000076838       [-0.18455506-0.12982581j]             [0.22564421]            [-2.52855302]
1.8738174228603839       [-0.19347108-0.14112055j]             [0.23947039]            [-2.51139719]
2.009233002565047       [-0.20464218-0.15316535j]             [0.25561308]            [-2.49908143]
2.1544346900318843       [-0.21867044-0.16579818j]             [0.27441902]            [-2.49285762]
2.31012970008316       [-0.23632736-0.17866835j]             [0.29626508]            [-2.49424947]
2.4770763559917115       [-0.25856174-0.19107462j]             [0.32150223]            [-2.50517507]
2.656087782946687       [-0.28639926-0.20170195j]             [0.35029732]            [-2.52800774]
2.848035868435802       [-0.32056531-0.20830848j]             [0.38230164]            [-2.56534676]
3.0538555088334154       [-0.36064944-0.20767174j]             [0.41616771]            [-2.61913697]
3.2745491628777286       [-0.4040525-0.1964562j]             [0.44928104]            [-2.68903411]
3.511191734215131       [-0.44597833-0.17325724j]             [0.47845035]            [-2.77104962]
3.7649358067924674       [-0.48168629-0.14011465j]             [0.50165107]            [-2.85852035]
